lang,genre,docs,pct_within_lang
en,blog/construction,2,0.15
en,blog/environment,2,0.15
en,blog/fashion,2,0.15
en,blog/humanresources,2,0.15
en,blog/lawenforcement-security,2,0.15
en,blog/museums-libraries,2,0.15
en,blog/sports-recreation,2,0.15
en,literature,2,0.15
en,social_media/business,2,0.15
en,social_media/cryptocurrency,2,0.15
en,social_media/environment,2,0.15
en,social_media/entertainment,1,0.07
en,social_media/health,1,0.07
en,social_media/politics,1,0.07
en,social_media/social,1,0.07
es,literature,1482,85.27
es,news,195,11.22
es,social_media/politics,12,0.69
es,social_media/entertainment,9,0.52
es,social_media/science,7,0.4
es,social_media/technology,7,0.4
es,social_media/people,6,0.35
es,social_media/business,5,0.29
es,social_media/sports,5,0.29
es,social_media/social,3,0.17
es,social_media/health,2,0.12
es,social_media/youtube_comment,2,0.12
es,social_media/economy,1,0.06
es,social_media/environment,1,0.06
es,social_media/law,1,0.06
fr,literature,382,55.44
fr,news,131,19.01
fr,social_media/politics,50,7.26
fr,social_media/sports,34,4.93
fr,social_media/entertainment,24,3.48
fr,social_media/technology,18,2.61
fr,social_media/people,11,1.6
fr,social_media/social,8,1.16
fr,social_media/health,6,0.87
fr,social_media/science,6,0.87
fr,social_media/law,4,0.58
fr,social_media/business,3,0.44
fr,social_media/cryptocurrency,3,0.44
fr,social_media/economy,3,0.44
fr,literature/drama,2,0.29
fr,social_media/environment,2,0.29
fr,social_media/finance,1,0.15
fr,social_media/investing,1,0.15
hi,social_media/politics,129,23.5
hi,social_media/people,86,15.66
hi,literature,66,12.02
hi,social_media/entertainment,50,9.11
hi,social_media/environment,38,6.92
hi,social_media/technology,31,5.65
hi,social_media/social,29,5.28
hi,social_media/health,25,4.55
hi,social_media/sports,21,3.83
hi,social_media/science,16,2.91
hi,social_media/finance,15,2.73
hi,social_media/business,13,2.37
hi,social_media/law,11,2.0
hi,social_media/investing,9,1.64
hi,social_media/economy,6,1.09
hi,social_media/cryptocurrency,4,0.73
ja,news,320,96.97
ja,social_media/youtube_comment,4,1.21
ja,social_media/environment,2,0.61
ja,social_media/business,1,0.3
ja,social_media/entertainment,1,0.3
ja,social_media/social,1,0.3
ja,social_media/sports,1,0.3
ko,news,832,42.47
ko,social_media/people,311,15.88
ko,social_media/entertainment,257,13.12
ko,social_media/environment,111,5.67
ko,social_media/technology,95,4.85
ko,social_media/science,50,2.55
ko,social_media/social,49,2.5
ko,social_media/politics,47,2.4
ko,social_media/health,40,2.04
ko,social_media/cryptocurrency,39,1.99
ko,social_media/investing,35,1.79
ko,social_media/sports,33,1.68
ko,social_media/business,26,1.33
ko,social_media/economy,11,0.56
ko,social_media/law,11,0.56
ko,social_media/finance,10,0.51
ko,social_media/youtube_comment,2,0.1
ru,news,952,41.0
ru,literature,670,28.85
ru,social_media/entertainment,143,6.16
ru,social_media/politics,129,5.56
ru,social_media/people,112,4.82
ru,social_media/technology,54,2.33
ru,social_media/social,42,1.81
ru,social_media/health,38,1.64
ru,social_media/environment,34,1.46
ru,social_media/science,30,1.29
ru,social_media/finance,22,0.95
ru,social_media/sports,22,0.95
ru,social_media/business,21,0.9
ru,social_media/economy,17,0.73
ru,social_media/cryptocurrency,16,0.69
ru,social_media/law,8,0.34
ru,social_media/investing,6,0.26
ru,social_media/youtube_comment,6,0.26
zh,media_reviews/douban,1366,67.56
zh,news,434,21.46
zh,social_media/xiaohongshu,150,7.42
zh,social_media/politics,12,0.59
zh,social_media/entertainment,8,0.4
zh,social_media/people,7,0.35
zh,social_media/cryptocurrency,6,0.3
zh,social_media/business,5,0.25
zh,social_media/environment,5,0.25
zh,social_media/technology,5,0.25
zh,literature,4,0.2
zh,social_media/science,4,0.2
zh,social_media/social,3,0.15
zh,social_media/sports,3,0.15
zh,social_media/economy,2,0.1
zh,social_media/finance,2,0.1
zh,social_media/health,2,0.1
zh,social_media/investing,2,0.1
zh,social_media/youtube_comment,2,0.1
