pair_type,lang,primary_genre,topic_cluster,cosine_similarity,doc_id_1,doc_id_2,author_id_1,author_id_2,token_length_1,token_length_2,length_ratio,split_1,split_2,doc_type_1,doc_type_2,source_1,source_2,text_snippet_1,text_snippet_2
different_author_same_genre_same_topic,es,literature,4,0.19037347418882788,mix_025421,mix_027249,2b4e4a9a9bc72d0612779f3adc3b2cb9a37f086e03415b1798e3920411b7a87c,eea4094e3c8904be8fc3645224e5cdaaf6aaab353bf66d5c08e316bb6614b89a,144.0,103.0,1.3980582524271845,train,train,candidate,candidate,spanish_pd_books,spanish_pd_books,"Nunca ^ han visto con vertidores m ás celosos; unos á otros P^iseguían con el más fervorosos ahinco, escribían f^oma tom os enteros de calumnias, y se trataban de Afieles y prevaricadores por un alma. H ab ia entre Ü0...","Entró el General Radet, Xefe de la gendarmería, con tropa armada, acompañada de algunos Italianos que hacían el oficio que habia practicado en otro tiempo el aleve Judas cuando prendieron á Jesucristo. Dixo Radet al S..."
different_author_same_genre_same_topic,es,literature,4,0.1877661533129409,mix_026135,mix_027249,787ddea277b69ccbdbe5fd886bfe543a4926ad97df39d15ab75d550112523fde,eea4094e3c8904be8fc3645224e5cdaaf6aaab353bf66d5c08e316bb6614b89a,115.0,103.0,1.116504854368932,train,train,query,candidate,spanish_pd_books,spanish_pd_books,"ÚPRÓé APROBACIÓN DE DON LEOPOLDO GERONTMÓ Puig, Capellán de S. M. en la Real de S. Ifid'ro, y Adminifirador del Real Hofpital de S. Luis, de la, Nación Francefa, en ejla Corté. M.'.. P... S. / "" * ' Uando el celebre A...","Entró el General Radet, Xefe de la gendarmería, con tropa armada, acompañada de algunos Italianos que hacían el oficio que habia practicado en otro tiempo el aleve Judas cuando prendieron á Jesucristo. Dixo Radet al S..."
same_author_same_genre_same_topic,es,literature,5,0.488911627563306,mix_025395,mix_025394,2760484cdbfb55364bf99024676aa0b3fc1b2adb9433cdfc968cfc7cc0467669,2760484cdbfb55364bf99024676aa0b3fc1b2adb9433cdfc968cfc7cc0467669,109.0,103.0,1.058252427184466,train,train,query,candidate,spanish_pd_books,spanish_pd_books,"' © Biblioteca Nacional de España 1 J.OS ~!AL~;'l'AS.-.. TORRJ::S MOLJo:S EN.G . Vnmos, feñora~, cal1:11'Se ya. ó el En~¡?üitas ~e '""' á enfadar. (, In. JJun1inndn1 sin .buccr cñso <le lllll' Jll'llttl> rns d<""l ~n1q;...","e '11$ : Vf'I' © Biblioteca Nacional de España T.OS )J.T.F.TAS.-A . 'COHRF.S ~¡o¡ ,~;,; 11 llegar ct>rca del hicbo, y en la cabeza p:trar 10$ pies; , 1nt-ler los br~zos, V en el IUOlTi 'lo Ú!ll'~1t . }c1~ p<ilt1R • ' :"
same_author_same_genre_same_topic,es,literature,5,0.3971490002697622,mix_026813,mix_026814,bfa2e35bf7b0403efa9eaffff71cba6dd07bfb0d72c0264aaa35391924d3049d,bfa2e35bf7b0403efa9eaffff71cba6dd07bfb0d72c0264aaa35391924d3049d,373.0,408.0,1.093833780160858,train,train,candidate,query,spanish_pd_books,spanish_pd_books,"Biblioteca Nacional de España USE FLEURON. 305 Lise se estremeció á su pesar, ganada por la emoción, y midiendo ahora el peligro: —¡Oh! (añadió): ¡los ojos! ¡Lo que hay de más precio en el mundo! ¡Piensa en la desgrac...","Biblioteca Nacional de España 610 LISE FLEURON. —M. La Barre (dijo): Bernard ha asistido al ensayo, y está muy contento.... —Y esto le extraña á V., ¿ no es verdad?— replicó Claudio con amargura. —Olvide V. todas esas..."
same_author_same_genre_same_topic,es,literature,5,0.3906450216989872,mix_025496,mix_025495,3573abddb117c09b48616b3753711f77ed952f16f542d3904f2a20cef3a8f757,3573abddb117c09b48616b3753711f77ed952f16f542d3904f2a20cef3a8f757,121.0,145.0,1.1983471074380165,train,train,candidate,query,spanish_pd_books,spanish_pd_books,Biblioteca Nacional de España PAX 123 XI Esta noche en tu falda mi vida se ha dormido como un niño asustado por los ogros de un cuento... Quiero cerrar los párpados para dar al olvidó­ la amargura vivida y el dolor qu...,"Biblioteca Nacional de España 86 VILLAESPESA En el silencio rechinó la llave, y el corazón, como paloma inquieta, quiso romper la cárcel de su seno, al contemplar, entre la luz suave del umbral, la ilusión de tu silue..."
different_author_same_genre_same_topic,es,literature,5,0.7710217736633225,mix_025784,mix_025915,52e7ab407560df2aff1ef6b6d115c6b4efbbfaa509781cb6bb31b15afc08e992,627d587946e297c8862b813ab5b40fb171dcd2eef588d87ea4e1aa22cb86713f,109.0,104.0,1.0480769230769231,train,train,candidate,query,spanish_pd_books,spanish_pd_books,"Fi14• :1 pis , :1 :1 .. :1 .. © Biblioteca Nacional de España Biblioteca Nacional DONATIVO I. 1 !,ertr.pier donado por: ( ;-<..S ~ i Feehe Alt?2 -1ol-o © Biblioteca Nacional de España 1 IAlll , Propiedad. Lutni ele D•...","D. JOAQUIN FRANCISCO CAMPCZANO. WN f.'VAhi'W ! tííitiU /A/ h: /■■¡f t.»! i ' 2:i o BIBLIOTECA NACIONAL DE ESPAÑA MADRID 18AK IMPRENTA DE DON MIGUEL DE BURGOS, donde se hallará. 1104026097 Biblioteca Nacional de España..."
different_author_same_genre_same_topic,es,literature,5,0.6741085552356006,mix_025374,mix_026887,24c7fce090373566f73a20333ab3b942c63d8542e865a9c978464df9bc9812ab,c9050829d8aeaa0048460ae8185330990f12b1f8a384b92b4cfa7bb4b6b814b6,31.0,49.0,1.5806451612903225,train,train,query,query,spanish_pd_books,spanish_pd_books,.. es b:nefi~io ? M a.s por que yes en C1 tanta TONA:~ © Biblioteca Nacional de España,"De las garras del águila en los vientos, Yerto en letal insulto Cayó, enroscado, entre la yerba oculto. © Biblioteca Nacional de España © Biblioteca Nacional de España"
different_author_same_genre_same_topic,es,literature,5,0.6710930310423043,mix_026009,mix_025374,6c5e93ee17d891f958b3fd0d2f439fc9938fc0c3bf4ab69f239f7a0b736ea460,24c7fce090373566f73a20333ab3b942c63d8542e865a9c978464df9bc9812ab,42.0,31.0,1.3548387096774193,train,train,query,query,spanish_pd_books,spanish_pd_books,1 ' • • Es propiedad. • Barcalona: Imp. de Luis Tasso. -1.872 • • ' • © Biblioteca Nacional de España © Biblioteca Nacional de España,.. es b:nefi~io ? M a.s por que yes en C1 tanta TONA:~ © Biblioteca Nacional de España
different_author_same_genre_same_topic,es,literature,6,0.31086841690271094,mix_026336,mix_025112,8db90c7fa3ca7af920ef962f907c8762deb4998859717e28e3c08338da6d540f,0a07938e1411045027d6c9328f10f23124275a4326a68b35f7d8547bb08be95a,159.0,165.0,1.0377358490566038,train,train,query,query,spanish_pd_books,spanish_pd_books,"SOF. BAR. SOF. BAR. EUF. SOF. BAR. EUF. El caballero Vinuesa licencia pide... ¡ Ay de mi!... Joven de tanto talento nos honra mucho... al momento... ¿Puede pasar? i Oh!... si, si... (Vase doña Eufemia.) Demos rostro á...","ESCENA FILOMENA, PRIMERA GERTRUDIÍ después FlL.? ¡Las once, ya! ¡Qué largas son las noches!... Mi marido está en el baile y yo esperando á que se aburra y se acuerde de su mujer... ¡que ya es esperar!... porque ningún..."
different_author_same_genre_same_topic,es,literature,6,0.3086491392176577,mix_025705,mix_026694,49bffcb352aca982decdd63b5bff000dbaf62c3e33cf6a0fd35ce7e952072bed,b0ca96f800fe3468ef08804348e9a5a4627ce0d9a2a7574ca34523418e82a287,254.0,172.0,1.4767441860465116,train,train,candidate,candidate,spanish_pd_books,spanish_pd_books,"(Con asombro.) Por mí? Pero... qué es esto?... Algo gira cerca de mí tan sombrío como un horrible estravío ó una espantosa mentira. Aunque mi razón procura coordinar alguna idea, aquí solo centellea (La frente.) el fu...",""" • la luz del sol, y tu honra volverá á brillar mañana. —No, madre, no me acaricies ni á mí te acerques... ¡aparta! ¿No ves que hay sangre en mis manos? ¿no ves mi frente manchada?"" —No es posible, tú deliras... ment..."
different_author_same_genre_same_topic,es,literature,6,0.30357341662433246,mix_026336,mix_027357,8db90c7fa3ca7af920ef962f907c8762deb4998859717e28e3c08338da6d540f,f8f875e9feb3cf8c30b71166f3fd1e1700860c9653edf783e440d577b3fa4494,159.0,152.0,1.0460526315789473,train,test,query,candidate,spanish_pd_books,spanish_pd_books,"SOF. BAR. SOF. BAR. EUF. SOF. BAR. EUF. El caballero Vinuesa licencia pide... ¡ Ay de mi!... Joven de tanto talento nos honra mucho... al momento... ¿Puede pasar? i Oh!... si, si... (Vase doña Eufemia.) Demos rostro á...",l ’ÎIÎBBEK). ^a-..Sî>k... lU k'v. ¿0üiïél(àridagîSorï>Gsa'è?èPon|(?iiéT-ûcitla%? 11£i)RB)0. (ÇOOét eiM ereafr)l &svcrîddd.¡¡por^q.uévvacülCi^W Jdo lihalddbbo. I$U*f. N ^oUo-onbiorido... 1¥.durk). œoooncJJibay.iàl«8in9...
same_author_same_genre_same_topic,es,literature,7,0.31912934108978863,mix_027358,mix_027359,f91164e52e479b545c0f5eaf99c405af85154062050be1b0499e2acf131d2a8f,f91164e52e479b545c0f5eaf99c405af85154062050be1b0499e2acf131d2a8f,267.0,341.0,1.2771535580524345,train,train,candidate,query,spanish_pd_books,spanish_pd_books,MIS DOS MITADES 27 —¿Y cómo lie venido yo a parar aquí? La enfermera se encogió de hombros. Yo estaba ya intrigadísimo por aquellas noticias tan ex­ trañas. —Oigame—seguí preguntando—. ¿Cuál ha sido la causa de mi enf...,"MIS DOS MITADES 83 nar esta pista cuando me hizo dar un salto al con­ tarme lo siguiente: «El sitio de reunión de ese y otros puntos para sus juergas, dicen que es un hotelito en S. Gervasio que tiene alquilado uno de..."
different_author_same_genre_same_topic,es,literature,7,0.47799620641757334,mix_026031,mix_026349,6f7f5cf41c91a7a9d45b084583d5b15eed803411ba04b6e30c676a1f368523a9,8e811c06804d08c03b8cc11a5877c671a990352baa331cb2ae9337851e48a16a,357.0,361.0,1.011204481792717,train,train,query,candidate,spanish_pd_books,spanish_pd_books,"— 5 — querido Carlos, le hice presente que era muy vieja para usted, que tenía una hija y... —Por Dios, no diga usted semejante desatino. ¡Vieja, una mujer de veinticinco años, sobre cuyo semblante parece que al resba...","Luis. INÉS. Luis. INÉS. Luis. INÉS. Luis. INÉS. Luis. INÉS. — 72 — fatal á que hemos venido, se necesita de un hombre la entereza, el noble brio. Si ese hombre dio su palabra, y caballero ha nacido, antes que faltar á..."
different_author_same_genre_same_topic,es,literature,7,0.4653597064558832,mix_027265,mix_026031,efd8af625dc9e322db1cafe9b1cc4a917ccefe85ce2eb2dbb81ddbe7c1b03b95,6f7f5cf41c91a7a9d45b084583d5b15eed803411ba04b6e30c676a1f368523a9,471.0,357.0,1.319327731092437,train,train,candidate,query,spanish_pd_books,spanish_pd_books,"RITA MADAME D.a CEES. MADAME D.a CEES. RITA D.a CEES. 23 — que ya con los años que pesan sobre mí, no resistiré tu ausencia, me moriré y quedarás sola en el mundo y lo que es peor, sola con tus abominables defectos. R...","— 5 — querido Carlos, le hice presente que era muy vieja para usted, que tenía una hija y... —Por Dios, no diga usted semejante desatino. ¡Vieja, una mujer de veinticinco años, sobre cuyo semblante parece que al resba..."
different_author_same_genre_same_topic,es,literature,7,0.42313589761797643,mix_027265,mix_026349,efd8af625dc9e322db1cafe9b1cc4a917ccefe85ce2eb2dbb81ddbe7c1b03b95,8e811c06804d08c03b8cc11a5877c671a990352baa331cb2ae9337851e48a16a,471.0,361.0,1.3047091412742382,train,train,candidate,candidate,spanish_pd_books,spanish_pd_books,"RITA MADAME D.a CEES. MADAME D.a CEES. RITA D.a CEES. 23 — que ya con los años que pesan sobre mí, no resistiré tu ausencia, me moriré y quedarás sola en el mundo y lo que es peor, sola con tus abominables defectos. R...","Luis. INÉS. Luis. INÉS. Luis. INÉS. Luis. INÉS. Luis. INÉS. — 72 — fatal á que hemos venido, se necesita de un hombre la entereza, el noble brio. Si ese hombre dio su palabra, y caballero ha nacido, antes que faltar á..."
same_author_same_genre_same_topic,es,literature,8,0.4672038309999045,mix_026594,mix_026593,a6316516ab8169e12c721cb7fd3ca19c61e5ae98584218a58c0b291532f876dd,a6316516ab8169e12c721cb7fd3ca19c61e5ae98584218a58c0b291532f876dd,440.0,403.0,1.0918114143920596,train,train,query,candidate,spanish_pd_books,spanish_pd_books,"4 34 y que han ofrecido el estado de carnes mas satisfactorio. Estas dos circunstancias, solo se observan en los que tiran por imitación, ó por distraer el ocio. Los que tienen el tiro patológico, siempre están mas ó ...","132 apoyo, de la fuerza con que se haga esle, y de la frecuencia con que tiren los animales. El grado del desgaste, tiene que estar siempre en relación con las circunstancias que acabamos de esponer, y con el tiempo q..."
same_author_same_genre_same_topic,es,literature,8,0.45800696346422554,mix_027057,mix_027056,dacd1516f90dc2b01edec5c45c5f0a7a36433aab5f4707912ae26519d5b8164a,dacd1516f90dc2b01edec5c45c5f0a7a36433aab5f4707912ae26519d5b8164a,249.0,319.0,1.2811244979919678,train,train,query,candidate,spanish_pd_books,spanish_pd_books,"Será eterna su gloria. A gloria que viene de la virtud, no acaba con la muerte. Este termi, no fatal de todas las grandezas humanas, asegura para siempre la reputación de los justos, que* como dice el P. S. Juan Chrys...","que vinieron á venerarle * Exiguus pülvfc tan± tum populum congregavit. (i)« Este contraste entre la gloria pasagera de los grandes del Mundo y la eterna de los héroes de la Religión, se hace mas notable hoy que celeb..."
same_author_same_genre_same_topic,es,literature,8,0.44471124467084167,mix_025449,mix_025450,2ecc63023ffc245b3b61850f8136449a7f80b855f448db5acf577030273de91c,2ecc63023ffc245b3b61850f8136449a7f80b855f448db5acf577030273de91c,110.0,150.0,1.3636363636363635,train,train,candidate,query,spanish_pd_books,spanish_pd_books,"200- Soo200- $2oo,ooo-á los acreedores, por vía de intereses, en el modo que acuerden. Con ellas podrá hacerse una bpnificacion á los privilegiados. $8oo,ooo-á los acreedores que quieran convertir sus créditos en capi...",". • —15— 12. Los productos que la comisión de acreedores obtenga de los bienes no comprendidos en la sociedad, ya en frutos ó rentas, ó por ventas que se -acuerden, ó de cualquier otro modo, se agregarán á los plazos ..."
different_author_same_genre_same_topic,es,literature,8,0.4669154677933458,mix_025734,mix_026225,4e1fba536415a0995c73149f605cb114ad839c98701f7691fbd386ff17540ec0,8249dbc4208938a1e644a84616dad9f1d8b9bade26872d71a80fcd4cf63f5953,394.0,371.0,1.0619946091644206,train,train,candidate,candidate,spanish_pd_books,spanish_pd_books,"¿ Qué deducen u sted es de todo esto? Que así com o en tod as la s cuestiones en tre pa tro nosyob re­ ros suelen sa lir ésto sg an an do, en es ta ocasión quien g an ó fu éel patrono. TESTAMENTOCUMPL ID O;P ob re don...","lleza de sus costas, la excelencia de sus fo nd ead ero s, fìjan en elm ar su po rv en ir. Elde la N ació n com oN ación, es ev id en te; y so rp ren de no cons­ titu yael id ealp ro c la m ad oy reconocido denue stra..."
different_author_same_genre_same_topic,es,literature,8,0.46420338999105215,mix_026406,mix_025085,9411e177ffdfc5e5d51e5c08d2ce73ec39edadbec548a6a1a28a0a0e4b632558,07f9d5e01b7165349c82e7762d4c890e3feac3bf7de31cf00a7429a07469fd93,505.0,469.0,1.0767590618336886,train,train,candidate,candidate,spanish_pd_books,spanish_pd_books,"íS8 INSTITUCIONES eon el comedimí&nto de su condición y el respete debido á su señor y dueño. Sin embargo, el artículo constitucional que previene no poder ser detenido, ni preso, ni separado de su domicilio ningún es...","Biblioteca Nacional de España 193 Adviértase aquí, de paso, lo que entienden los masones por «existencia independiente» de un Oriente. Slgnifloa que no forma parte de otro, que no está subordinado á la Jurisdicción de..."
different_author_same_genre_same_topic,es,literature,8,0.4630311014265429,mix_025085,mix_025845,07f9d5e01b7165349c82e7762d4c890e3feac3bf7de31cf00a7429a07469fd93,5ad0c02cb3b7d9ecc90b28c7c973fe1d101a8ff122b19708e33af6bdcc992ee9,469.0,309.0,1.5177993527508091,train,train,candidate,candidate,spanish_pd_books,spanish_pd_books,"Biblioteca Nacional de España 193 Adviértase aquí, de paso, lo que entienden los masones por «existencia independiente» de un Oriente. Slgnifloa que no forma parte de otro, que no está subordinado á la Jurisdicción de...","Biblioteca Nacional de España — 253 - sin protesta del partido liberal que del año 14 al 20 conspiró para derribar el régimen absoluto pereciendo en los cadal­ sos L'acy, Porlier y otros liberales. Periodo constitucio..."
same_author_same_genre_same_topic,es,literature,9,0.9506051927376404,mix_026978,mix_026977,d2c87780a6f909426d9911080a33ae2e904418cb3c6860a1b80e259541576977,d2c87780a6f909426d9911080a33ae2e904418cb3c6860a1b80e259541576977,134.0,137.0,1.0223880597014925,train,train,candidate,query,spanish_pd_books,spanish_pd_books,"Ortotfrafia ' r Z'7Z ¿'ZZ77ZÍ7Z7ZZZZYZZ7Z ZWZ /ZZzZ £í/m-. /e. Z'ZZZ/i7 e7(77ZZZ^<r Z'zZ yiZZ7reZzl 7^Z'¿¿/ ^ZYYY’zf/zY Z’ZZ//ZZ^ ,Z’7Z z7 i YZ/Zi-iZ^ .ZZ/^/^WZ^y ZYZZ/ZZ zY7rZZ7ZcZ/zZ7ZzYzZ","(ír¿iflrfr/(ir /.á/^íMo/a Si'sfM/a e/e ¿a.r¿{7¿(i ■ £[/. /^fe(rra^i.r. ,/ /fff '/iosff i/raáo Sistema:, cíe. CastiClíí . ¿ií Se /fritas. Áanoto yraóff. ¿am^. 3? ZZ 7ZZZ^ZZ/ZZ ZZZZ^ZZ/ZZ zzzzz/z/zzZZzzz/z/ZZ ZZZíZZZ/zZ..."
same_author_same_genre_same_topic,es,literature,9,0.6594853304086427,mix_025645,mix_025646,4452a3b3791eab51e7be6d5c5244139d7e37e48e33af411d20e125a4aa3faa31,4452a3b3791eab51e7be6d5c5244139d7e37e48e33af411d20e125a4aa3faa31,101.0,100.0,1.01,train,train,candidate,query,spanish_pd_books,spanish_pd_books,"Provincia de G uadalajara. Partido de Gua. Majara, id. de Sigüenza. id. de Colmenar Viejo, Condado. de Manzanares. Reino de Mallorca. Isla de Ibiza, id. de Mai lima, id. de Menorca. Provincia de Jaén. Lugares de 'la T...","• • _31 — .• Provincia de Toro. Lugares de la, tierra y jurisdicción de Toro, Partido de. Carrión, id. de Reynosa. Provincia de Valladolid. Partido de Valladolid, id. de Medina del Campo, id. de Olmedo, idem de Tordes..."
same_author_same_genre_same_topic,es,literature,9,0.313491574821708,mix_025904,mix_025903,60b4663bd04e155058777f61cc385d31f7ca7b763f1824378216211fc6a03e5e,60b4663bd04e155058777f61cc385d31f7ca7b763f1824378216211fc6a03e5e,113.0,97.0,1.1649484536082475,train,train,query,candidate,spanish_pd_books,spanish_pd_books,"Carniancib® Franco ,!-n»ntand® «1 caball® Chispa, ayudada per sus papás. 6C <^'|c;> 2/^/-^3 iXîMNOITA FRANCOrgtntil amazena s®br« CHISPA. Vld^^amiliar del GeneralisiK Caraienclta Franco Polo ^^:^ y^F GARîiîSNOITA FRAN...","2^ LeonSeptiembre 1937Carmencita î’raneo y Polo LeonSeptiembre 1937Garuoncita frjiinGO y Polo s «s Avenida del eener^Uiííno ftranco, 5 AC ""s ÜALiBÂD £ S o^á^s^ao burgos C. I. F. R. A= Avenida del Generelitlino Franco, 5"
